Date,LegacyMeanWhPerMinute,MinimumHomesPresent,Minutes,AmbientTemperatureC
2020-06-16,167.3765277777778,20,1440,12.860236111111112
2020-06-17,161.29145833333334,20,1440,12.983
2020-06-18,150.19018402777778,20,1440,12.798166666666667
2020-06-19,158.84097222222223,20,1440,12.841506944444445
2020-06-20,179.5615625,20,1440,13.878215277777779
2020-06-21,161.57218402777778,20,1440,13.85
2020-06-22,170.65827083333335,20,1440,14.412069444444445
2020-06-23,165.9053263888889,20,1440,13.146013888888888
2020-06-24,154.84395486111111,20,1440,14.104131944444445
2020-06-25,147.8665173611111,20,1440,15.450701388888888
2020-06-26,138.14843402777777,20,1440,13.7091875
2020-06-27,158.3496875,20,1440,13.002576388888889
2020-06-28,152.16752083333333,20,1440,13.092756944444444
2020-06-29,151.20527083333334,20,1440,12.875833333333334
2020-06-30,156.23281597222223,20,1440,12.870534722222223
2020-07-01,213.51013541666666,20,1440,12.926604166666667
2020-07-02,203.8951736111111,20,1440,13.695500000000001
2020-07-03,233.97006944444445,20,1440,14.50945138888889
2020-07-04,189.38234375000002,20,1440,14.672340277777776
2020-07-05,175.98371180555557,20,1440,13.588006944444444
2020-07-06,152.2944375,20,1440,13.56053472222222
2020-07-07,161.66348611111113,20,1440,13.971368055555557
2020-07-08,178.98510763888888,20,1440,14.704131944444445
2020-07-09,194.54675694444447,20,1440,13.909895833333334
2020-07-10,206.15949561454238,20,1440,13.061159722222222
2020-07-11,207.40635533049965,20,1440,12.368707638888887
2020-07-12,231.92249280495795,20,1440,14.257895833333333
2020-07-13,149.7299927377044,20,1440,14.420208333333333
2020-07-14,141.5851192137162,20,1440,13.60032638888889
2020-07-15,164.69314846524605,20,1440,14.330152777777776
2020-07-16,151.89996760091927,20,1440,15.262444444444442
2020-07-17,162.2652337879696,20,1440,15.86401388888889
2020-07-18,175.90590277777778,20,1440,14.434958333333334
2020-07-19,160.86951041666666,20,1440,13.969930555555557
2020-07-20,169.0750234375,20,1440,13.164419444444444
2020-07-21,164.2660703125,20,1440,13.60818125
2020-07-22,166.34614583333334,20,1440,16.0084375
2020-07-23,168.91312152777778,20,1440,14.978618055555556
2020-07-24,172.14555208333334,20,1440,15.35045138888889
2020-07-25,180.96662847222223,20,1440,14.999215277777777
2020-07-26,179.9447152777778,20,1440,14.678652777777776
2020-07-27,157.4835,20,1440,15.095694444444444
2020-07-28,157.17245377280264,20,1440,14.476222222222221
2020-07-29,172.81550456053068,20,1440,14.524729166666667
2020-07-30,171.74988541666667,20,1440,16.967020833333333
2020-07-31,166.75809375,20,1440,16.241555555555557
2020-08-01,223.6720138888889,20,1440,14.608159722222222
2020-08-02,201.37716666666665,20,1440,14.47509027777778
2020-08-03,213.04597222222222,20,1440,14.98825
2020-08-04,200.45573958333335,20,1440,16.69186111111111
2020-08-05,173.29422569444444,20,1440,15.908611111111112
2020-08-06,148.8777673611111,20,1440,16.638631944444445
2020-08-07,170.7848263888889,20,1440,16.139756944444443
2020-08-08,186.25278472222223,20,1440,14.429326388888889
2020-08-09,194.39426388888887,20,1440,15.49259027777778
2020-08-10,178.9106802037551,20,1440,16.949854166666668
2020-08-11,221.4778338658532,20,1440,16.089534722222222
2020-08-12,228.17163523594726,20,1440,16.629680555555556
2020-08-13,181.5677638888889,20,1440,17.670673611111113
2020-08-14,168.529625,20,1440,18.294666666666668
2020-08-15,185.9621423611111,20,1440,17.314506944444442
2020-08-16,208.22109027777776,20,1440,17.529374999999998
2020-08-17,181.83937847222222,20,1440,16.749465277777777
2020-08-18,190.1614189814815,20,1440,17.00347222222222
2020-08-19,171.91180324074074,20,1440,16.412736111111112
2020-08-20,177.9702638888889,20,1440,15.901020833333334
2020-08-21,168.42390277777778,20,1440,15.756472222222222
2020-08-22,174.17292013888888,20,1440,15.045
2020-08-23,183.79652430555555,20,1440,14.939965277777777
2020-08-24,165.69326388888888,20,1440,15.51457638888889
2020-08-25,166.31346180555556,20,1440,15.699583333333335
2020-08-26,186.96548958333332,20,1440,15.442486111111112
2020-08-27,172.97238888888887,20,1440,15.33020138888889
2020-08-28,172.55667708333334,20,1440,14.709097222222221
2020-08-29,175.93816666666666,20,1440,13.70897222222222
2020-08-30,167.51540625,20,1440,13.003666666666666
2020-08-31,181.894375,20,1440,14.370555555555555
2020-09-01,214.90177777777777,20,1440,15.230187500000001
2020-09-02,211.4475277777778,20,1440,16.129416666666668
2020-09-03,224.0101909722222,20,1440,15.014833333333334
2020-09-04,182.72453472222224,20,1440,14.294541666666666
2020-09-05,181.27259375,20,1440,14.432138888888888
2020-09-06,156.91090277777778,20,1440,14.92807638888889
2020-09-07,153.1338888888889,20,1440,15.4385625
2020-09-08,176.81293402777777,20,1440,16.11832638888889
2020-09-09,164.55203819444444,20,1440,14.238993055555557
2020-09-10,167.3537557372388,20,1440,13.506902777777777
2020-09-11,203.6678349308929,20,1440,14.3735625
2020-09-12,233.26054127631275,20,1440,15.099673611111111
2020-09-13,176.54527083333335,20,1440,16.066395833333335
2020-09-14,180.26647569444444,20,1440,18.153125
2020-09-15,190.74505555555555,20,1440,18.095805555555554
2020-09-16,174.2516909722222,20,1440,17.338631944444444
2020-09-17,164.89038194444444,20,1440,17.67626388888889
2020-09-18,163.93792708333334,20,1440,17.403194444444445
2020-09-19,159.2060798611111,20,1440,14.484770833333332
2020-09-20,182.1644201388889,20,1440,12.88093611111111
2020-09-21,170.72273611111112,20,1440,12.743986111111111
2020-09-22,171.17181597222222,20,1440,13.883708333333335
2020-09-23,155.75087847222224,20,1440,11.406847222222222
2020-09-24,178.60054166666666,20,1440,10.650395833333333
2020-09-25,163.87271875,20,1440,11.09979861111111
2020-09-26,173.76232638888888,20,1440,9.283477083333334
2020-09-27,194.31086458333334,20,1440,11.657428472222222
2020-09-28,165.33507291666666,20,1440,13.086647222222222
2020-09-29,176.87663194444445,20,1440,12.41151736111111
2020-09-30,171.6401111111111,20,1440,11.54255486111111
2020-10-01,218.01080555555555,20,1440,8.688068055555554
2020-10-02,229.57638541666665,20,1440,11.089806944444444
2020-10-03,243.2949444444444,20,1440,11.101381944444444
2020-10-04,186.48568055555555,20,1440,11.73404861111111
2020-10-05,170.56982638888888,20,1440,12.328944444444444
2020-10-06,149.78458680555556,20,1440,12.4953125
2020-10-07,148.80443055555557,20,1440,12.77534027777778
2020-10-08,181.5832465277778,20,1440,11.780826388888888
2020-10-09,168.73459027777778,20,1440,11.472673611111112
2020-10-10,207.92667024732052,20,1440,11.641534722222223
2020-10-11,199.19125580229777,20,1440,11.62657638888889
2020-10-12,219.72662950593724,20,1440,11.999368055555555
2020-10-13,177.05480902777776,20,1440,11.503861111111112
2020-10-14,186.7712013888889,20,1440,10.40705486111111
2020-10-15,163.92144097222223,20,1440,9.687252777777777
2020-10-16,163.15456597222223,20,1440,11.097826388888889
2020-10-17,179.15279513888888,20,1440,11.273423611111111
2020-10-18,196.86472222222224,20,1440,13.553652777777776
2020-10-19,196.9171770833333,20,1440,13.8309375
2020-10-20,183.95671875,20,1440,12.956652777777778
2020-10-21,178.17247569444444,20,1440,11.098194444444443
2020-10-22,172.75583333333333,20,1440,9.659683333333334
2020-10-23,170.43473958333334,20,1440,10.975944444444444
2020-10-24,193.30840277777776,20,1440,10.612895833333333
2020-10-25,204.78285416666665,20,1440,10.051338888888889
2020-10-26,202.94592708333334,20,1440,10.786277777777778
2020-10-27,200.57341319444447,20,1440,10.420761805555555
2020-10-28,199.0516284722222,20,1440,9.714727777777778
2020-10-29,202.43037152777777,20,1440,13.442020833333332
2020-10-30,189.6059722222222,20,1440,11.327722222222222
2020-10-31,230.14263194444445,20,1440,10.9285625
2020-11-01,235.99220833333337,20,1440,11.072475694444444
2020-11-02,192.6942326388889,20,1440,9.222111111111111
2020-11-03,238.62264930555554,20,1440,8.559132638888888
2020-11-04,197.33295486111112,20,1440,7.426590277777779
2020-11-05,175.36696875,20,1440,5.394980555555556
2020-11-06,147.0759375,20,1440,9.383129166666667
2020-11-07,135.92697222222222,20,1440,12.712722222222222
2020-11-08,172.21833333333333,20,1440,13.658819444444445
2020-11-09,176.73467013888887,20,1440,12.023284722222222
2020-11-10,188.08615325246743,20,1440,11.5000625
2020-11-11,202.64168937466266,20,1440,11.349631944444443
2020-11-12,196.09543870815259,20,1440,10.21598611111111
2020-11-13,198.59480500730993,20,1440,9.665559722222223
2020-11-14,236.67765935672514,20,1440,10.937979166666667
2020-11-15,219.10365953947365,20,1440,9.70566736111111
2020-11-16,211.18810416666668,20,1440,11.796513888888889
2020-11-17,206.6849168494152,20,1440,13.11561111111111
2020-11-18,202.57998346734894,20,1440,10.0734375
2020-11-19,203.52348263888888,20,1440,9.34136111111111
2020-11-20,226.12053819444446,20,1440,11.603270833333333
2020-11-21,223.6814097222222,20,1440,10.714247222222221
