Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-04-13,284.747385,20,20,1440,True,284.747385,10.794421527777779
2020-04-14,273.160455,20,20,1440,True,273.160455,8.430447916666667
2020-04-15,246.09333,20,20,1440,True,246.09333,8.23436388888889
2020-04-16,265.67592999999994,20,20,1440,True,265.67592999999994,12.109285416666665
2020-04-17,252.027835,20,20,1440,True,252.027835,12.585312499999999
2020-04-18,268.46558,20,20,1440,True,268.46558,12.399368055555556
2020-04-19,255.009,20,20,1440,True,255.009,12.28338888888889
2020-04-20,266.09522,20,20,1440,True,266.09522,13.177686805555554
2020-04-21,254.43395,20,20,1440,True,254.43395,9.883327083333333
2020-04-22,253.63575500000002,20,20,1440,True,253.63575500000002,12.866576388888888
2020-04-23,245.65641856275303,20,20,1440,True,245.65641856275303,11.678609722222223
2020-04-24,272.9147764372469,20,20,1440,True,272.9147764372469,11.215260416666666
2020-04-25,255.87385,20,20,1440,True,255.87385,11.611979166666666
2020-04-26,246.00671000000003,20,20,1440,True,246.00671000000003,10.976930555555557
2020-04-27,247.542125,20,20,1440,True,247.542125,10.328076388888888
2020-04-28,166.346595,20,20,1440,True,166.346595,9.6445125
2020-04-29,54.64578999999999,20,20,1440,True,54.64578999999999,8.093552083333334
2020-04-30,85.62395499999998,20,20,1440,True,85.62395499999998,8.02418125
2020-05-01,303.83168499999994,20,20,1440,True,303.83168499999994,9.473672916666667
2020-05-02,249.47042000000002,20,20,1440,True,249.47042000000002,9.102207638888888
2020-05-03,319.30003000000005,20,20,1440,True,319.30003000000005,11.165000000000001
2020-05-04,281.091745,20,20,1440,True,281.091745,13.60970138888889
2020-05-05,108.37303,20,20,1440,True,108.37303,12.226729166666669
2020-05-06,237.83380499999998,20,20,1440,True,237.83380499999998,12.7104375
2020-05-07,235.59659499999998,20,20,1440,True,235.59659499999998,12.694749999999999
2020-05-08,245.03584,20,20,1440,True,245.03584,13.58288888888889
2020-05-09,266.59457999999995,20,20,1440,True,266.59457999999995,14.267138888888889
2020-05-10,269.23770499999995,20,20,1440,True,269.23770499999995,12.4496875
2020-05-11,262.49596499999996,20,20,1440,True,262.49596499999996,8.338989583333333
2020-05-12,338.40765999999996,20,20,1440,True,338.40765999999996,8.719345833333334
2020-05-13,240.71145500000003,20,20,1440,True,240.71145500000003,9.544238888888888
2020-05-14,227.84487,20,20,1440,True,227.84487,8.83223888888889
2020-05-15,231.48151000000001,20,20,1440,True,231.48151000000001,9.740584722222222
2020-05-16,230.07108499999998,20,20,1440,True,230.07108499999998,10.494849305555556
2020-05-17,242.06912000000003,20,20,1440,True,242.06912000000003,12.276826388888889
