Month,Day,Score,Selected
12,11-Dec-2012,1.29481516037017,0
12,18-Dec-2012,1.30171402216709,0
12,06-Dec-2012,1.33431284234367,0
12,26-Dec-2012,1.348546321581,0
12,19-Dec-2012,1.36883037334729,0
12,15-Dec-2012,1.39806162821536,0
12,09-Dec-2012,1.44871567990438,0
12,05-Dec-2012,1.45653948292679,0
12,04-Dec-2012,1.4966688631048,0
12,07-Dec-2012,1.52449797657735,0
12,20-Dec-2012,1.55443239259188,0
12,28-Dec-2012,1.56373781079797,0
12,30-Dec-2012,1.61740682898466,0
12,14-Dec-2012,1.62204560257998,0
12,12-Dec-2012,1.7059451800571,0
12,17-Dec-2012,1.78896207753227,0
12,03-Dec-2012,1.8151831468554,0
12,10-Dec-2012,1.84899245012502,0
12,31-Dec-2012,2.12523272856178,0
12,25-Dec-2012,2.50299437415346,0
12,23-Dec-2012,3.48991630061819,0
12,16-Dec-2012,3.51063045258576,0
12,02-Dec-2012,3.64912813954322,0
12,24-Dec-2012,4.59422178548745,0
12,01-Dec-2012,4.92782778842863,0
