Experiment,Month,Day,Sequence,Strategy,Alpha,RequestedCapKW,EffectiveCapKW,P0KW,PminKW,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,AcceptancePassed,AcceptanceMessage,BaselineBillEUR,OptimizedBillEUR,SavingsEUR,SavingsPercent,BaselinePeakImportKW,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,EnergyBalanceResidualKW,TerminalSocErrorKWh,SimultaneousChargeDischargeKW,ExitFlags,MinimumExitFlag
primary,8,17-Aug-2012,1,SH_BM,NaN,NaN,NaN,83.026,NaN,ok,,,5.30773608333333,1,,135.329884,85.051373702588,50.278510297412,37.1525555267689,83.026,111.133606648199,45.41,111.133606648199,795.760099231736,699.491629551499,69.5911340310672,0,2.66453525910038e-15,0,0,1;1,1
primary,8,17-Aug-2012,2,VPP_BM,NaN,NaN,NaN,83.026,NaN,ok,,,21.0792626666667,1,,135.329884,71.1749533932841,64.1549306067159,47.4063294155457,83.026,132.010616842105,34.8058,132.010616842105,742.832080131448,831.999811730215,0,140.905042150799,3.28626015289046e-14,0,0,1;1,1
primary,8,17-Aug-2012,3,IMPROVED_PEAK_GUARD,NaN,83.026,83.026,83.026,NaN,ok,,,18.4315561666667,1,,135.329884,71.1749533932841,64.1549306067159,47.4063294155457,83.026,83.026,34.05119,83.0260000000001,742.832080131449,831.999811730216,0,140.9050421508,9.32587340685131e-15,0,0,1;1,1
primary,9,06-Sep-2012,1,SH_BM,NaN,NaN,NaN,61.284,NaN,ok,,,3.324078875,1,,81.495705,36.1686797665698,45.3270252334302,55.6189129641006,61.284,61.284,10.543815,61.284,383.428052682086,580.569453166742,168.663672848529,0,1.77635683940025e-15,0,0,1;1,1
primary,9,06-Sep-2012,2,VPP_BM,NaN,NaN,NaN,61.284,NaN,ok,,,18.8943282916667,1,,81.495705,21.2447683944766,60.2509366055234,73.931425718108,61.284,61.284,1.7874590696465e-14,61.2840000000004,233.458993345896,690.005961865543,0,186.839895303108,4.8544501751735e-13,0,0,1;1,1
primary,9,06-Sep-2012,3,IMPROVED_PEAK_GUARD,NaN,61.284,61.284,61.284,NaN,ok,,,32.3569189583333,1,,81.495705,21.2447683944767,60.2509366055233,73.9314257181078,61.284,61.284,4.4353409833775e-13,61.2840000000003,233.458993345898,690.005961865541,0,186.83989530311,1.48375756126029e-12,0,0,1;1,1
primary,10,19-Oct-2012,1,SH_BM,NaN,NaN,NaN,56.568,NaN,ok,,,3.588637375,1,,76.557592,35.6945878611898,40.8630041388103,53.3755086481955,56.568,56.568,6.41,56.568,379.330773199888,528.689254263541,182.576666731101,0,1.77635683940025e-15,0,0,1;1,1
primary,10,19-Oct-2012,2,VPP_BM,NaN,NaN,NaN,56.568,NaN,ok,,,12.215536375,1,,76.557592,22.6778884077886,53.8797035922114,70.3780019520617,56.568,56.568,5.32907051820075e-15,56.568,249.207564920754,604.559204254094,33.9209699991077,209.130886739502,2.8199664825479e-14,0,0,1;1,1
primary,10,19-Oct-2012,3,IMPROVED_PEAK_GUARD,NaN,56.568,56.568,56.568,NaN,ok,,,16.5213580833333,1,,76.557592,22.6778884077886,53.8797035922114,70.3780019520617,56.568,56.568,1.50990331349021e-14,56.568,249.207564920754,604.559204254095,25.3341294089097,331.800038028042,3.48610029732299e-14,0,0,1;1,1
primary,11,12-Nov-2012,1,SH_BM,NaN,NaN,NaN,51.694,NaN,ok,,,2.75115345833333,1,,73.502734,30.6132881544518,42.8894458455482,58.3508170533469,51.694,49.5,3.392,49.5,326.289726971998,536.688366019005,259.062139768391,0,5.10702591327572e-15,0,0,1;1,1
primary,11,12-Nov-2012,2,VPP_BM,NaN,NaN,NaN,51.694,NaN,ok,,,14.87964925,1,,73.502734,20.2470861547085,53.2556478452915,72.4539686446106,51.694,49.5,1.59872115546023e-14,49.5,222.495452249544,615.25924584144,127.24811222581,342.683229891387,7.66053886991358e-15,0,0,1;1,1
primary,11,12-Nov-2012,3,IMPROVED_PEAK_GUARD,NaN,51.694,51.694,51.694,NaN,ok,,,15.2791930833333,1,,73.502734,20.2470861547085,53.2556478452915,72.4539686446106,51.694,49.5,6.66133814775094e-15,49.5,222.495452249544,615.259245841441,135.905092946156,219.012076743571,5.55111512312578e-15,0,0,1;1,1
primary,12,21-Dec-2012,1,SH_BM,NaN,NaN,NaN,59.6,NaN,ok,,,5.43795979166667,1,,81.66197,51.9511812469805,29.7107887530195,36.3826500303869,59.6,113.065650969529,18.778,113.065650969529,537.831065406379,468.563874549044,64.7693402650463,0,5.19584375524573e-14,0,0,1;1,1
primary,12,21-Dec-2012,2,VPP_BM,NaN,NaN,NaN,59.6,NaN,ok,,,27.9101189166667,1,,81.66197,43.2468478034089,38.4151221965911,47.0416305124541,59.6,79.8991561018301,3.08086889333481e-15,79.8991561018301,475.240085751746,394.072035328638,0,85.7281164193635,3.38618022510673e-15,0,0,1;1,1
primary,12,21-Dec-2012,3,IMPROVED_PEAK_GUARD,NaN,59.6,59.6,59.6,NaN,ok,,,9.08068370833333,1,,81.66197,43.246847803409,38.415122196591,47.041630512454,59.6,59.6,2.08166817117217e-15,59.6,475.240085751747,394.0720353286,0,85.7281164194037,2.88657986402541e-15,0,0,1;1,1
