Dataset,Day,PeakGuardCapKW,VppBillEUR,PeakGuardBillEUR,BillPenaltyEUR,BillPenaltyPercentOfVpp,VppPaperSavingsPercent,PeakGuardPaperSavingsPercent,PaperSavingsSacrificePercentagePoints,VppEngineeringSavingsPercent,PeakGuardEngineeringSavingsPercent,EngineeringSavingsSacrificePercentagePoints,VppAllDayPeakKW,PeakGuardAllDayPeakKW,PeakReductionKW,PeakReductionPercent,VppPeakExcessOverCapKW,PeakGuardPeakExcessOverCapKW,PeakGuardCapViolationKW,VppCreatesNewPeak,PeakGuardCapSatisfied,VppDaytimePeakKW,PeakGuardDaytimePeakKW,DaytimePeakChangeKW,VppLoadRangeKW,PeakGuardLoadRangeKW,LoadRangeReductionKW,VppGridImportKWh,PeakGuardGridImportKWh,GridImportChangeKWh,VppBatteryThroughputKWh,PeakGuardBatteryThroughputKWh,BatteryThroughputChangeKWh,VppPvCurtailmentKWh,PeakGuardPvCurtailmentKWh,PvCurtailmentChangeKWh,VppEnergyBalanceResidualKW,PeakGuardEnergyBalanceResidualKW,VppTerminalSocErrorKWh,PeakGuardTerminalSocErrorKWh,VppSimultaneousChargeDischargeKW,PeakGuardSimultaneousChargeDischargeKW
StoreNet,15-Jun-2020,14.4712795,12.0590333708069,12.0590333708069,0,0,64.824750589961,64.824750589961,0,54.643973854102,54.643973854102,0,34.9083658725762,14.4712795,20.4370863725762,58.5449529410125,20.4370863725762,0,0,1,1,1.16573417585641e-15,4.16333634234434e-16,-7.49400541621976e-16,34.9083658725762,14.4712795,20.4370863725762,132.516850228647,132.516850228647,0,121.844785489195,121.844785489202,6.99174051987939e-12,NaN,0,NaN,8.88178419700125e-16,6.66133814775094e-16,0,0,0,0
StoreNet,16-Jun-2020,14.727853,19.3101798620257,22.8600846250926,3.5499047630669,18.383592428613,47.3335293450771,37.651540033341,9.6819893117361,38.4111497034277,27.0889064834373,11.3222432199904,56.8940989417092,14.727853,42.1662459417092,74.1135666546202,42.1662459417092,0,0,1,1,4.9960036108132e-16,12.329262435,12.329262435,56.8940989417092,14.727853,42.1662459417092,212.199778703579,206.98324818089,-5.216530522689,221.886473391206,148.739064153135,-73.147409238071,NaN,0,NaN,1.80189196896663e-13,2.66453525910038e-15,0,0,0,0
StoreNet,01-Jul-2020,21.141624,31.8873578981091,37.3269465180422,5.4395886199331,17.0587624014333,30.8390558052486,19.0410546604782,11.7980011447704,30.1713142463591,18.259404655602,11.9119095907571,83.0496542105263,21.141624,61.9080302105263,74.5433931050367,61.9080302105263,0,0,1,1,13.17714638,20.344062,7.16691562,83.0496542105263,21.107032,61.9426222105263,326.69457984867,317.811335165166,-8.88324468350402,319.999915652548,188.119626983411,-131.880288669137,NaN,0,NaN,2.22044604925031e-15,1.4432899320127e-15,0,0,0,0
StoreNet,02-Jul-2020,24.4455305,29.3756687771134,30.241691078165,0.866022301051601,2.94809390595498,33.3874247773411,31.4236235066023,1.9638012707388,31.8255992146359,29.8157538596614,2.0098453549745,71.0451615789474,24.4455305,46.5996310789474,65.5915618224959,46.5996310789474,0,0,1,1,10.7986118728851,13.1134425,2.3148306271149,71.0451615789474,24.4455305,46.5996310789474,302.137277704464,300.200065848788,-1.93721185567603,320.058474211492,297.150675571159,-22.907798640333,NaN,0,NaN,1.77635683940025e-14,6.66133814775094e-15,0,0,0,0
StoreNet,15-Jul-2020,13.431552,17.7412893216537,20.9431907244883,3.2019014028346,18.0477379337171,50.7505584085735,41.8621482563338,8.88841015223969,41.5259502880339,30.972707036787,10.5532432512469,55.8467308911616,13.431552,42.4151788911616,75.9492600808158,42.4151788911616,0,0,1,1,3.77475828372553e-14,10.0815775,10.0815775,55.8467308911616,13.431552,42.4151788911616,194.959223314876,191.089673693239,-3.86954962163699,197.46215911426,137.3518742597,-60.11028485456,NaN,0,NaN,1.59872115546023e-13,5.10702591327572e-15,0,0,0,0
StoreNet,16-Jul-2020,13.8189275,11.5959731824045,11.5959731824045,0,0,65.0828416170073,65.0828416170074,-9.9475983006414e-14,56.1856349062783,56.1856349062784,-9.9475983006414e-14,35.679758294816,13.8189275,21.860830794816,61.2695596595233,21.860830794816,0,0,1,1,5.82867087928207e-16,1.87350135405495e-15,1.29063426612674e-15,35.679758294816,13.8189275,21.860830794816,127.42827672972,127.42827672972,0,120.176260699317,120.176260699322,5.00222085975111e-12,NaN,0,NaN,1.33226762955019e-15,8.88178419700125e-16,0,0,0,0
StoreNet,01-Aug-2020,24.74936,32.7646726384706,35.2447946167791,2.4801219783085,7.56950025313688,31.527247273249,26.3442020822678,5.1830451909812,29.9023751145483,24.5963352214011,5.3060398931472,75.9613042105263,24.74936,51.2119442105263,67.4184635753392,51.2119442105263,0,0,1,1,12.1651105,16.43912,4.2740095,75.9613042105263,24.7325925,51.2287117105263,332.296806515584,327.207715367418,-5.08909114816601,320.005322099513,257.821771258188,-62.183550841325,NaN,0,NaN,5.32907051820075e-15,1.77635683940025e-15,0,0,0,0
StoreNet,02-Aug-2020,23.2809665,30.3277250281859,32.1440798745694,1.8163548463835,5.9890903280593,32.5385368411876,28.4982088759759,4.0403279652117,30.974466470924,26.8404649184428,4.1340015524812,76.9028042105263,23.2809665,53.6218377105263,69.7267651823633,53.6218377105263,0,0,1,1,9.14621,11.5170675,2.3708575,76.9028042105263,23.2809665,53.6218377105263,305.002072107546,300.93905282854,-4.06301927900597,319.99991977804,271.954258473474,-48.045661304566,NaN,0,NaN,2.88657986402541e-15,8.88178419700125e-16,0,0,0,0
StoreNet,15-Aug-2020,18.28414,21.8601326413552,24.4757806146257,2.6156479732705,11.9653801565787,45.9682078130854,39.5030984725084,6.465109340577,37.5129548178034,30.0361423131404,7.476812504663,64.9591884398177,18.28414,46.6750484398177,71.8528811102072,46.6750484398177,0,0,1,1,6.66133814775094e-16,8.4844625,8.4844625,64.9591884398177,18.28414,46.6750484398177,240.22123781709,235.638285840854,-4.58295197623602,248.729561065775,199.746184151419,-48.983376914356,NaN,0,NaN,2.66453525910038e-15,6.60582699651968e-15,0,0,0,0
StoreNet,16-Aug-2020,19.8687105,25.092780421743,29.4402111630603,4.3474307413173,17.3254245573768,45.7485401363545,36.349244386403,9.3992957499515,37.5047945990476,26.677234935328,10.8275596637196,83.6087942105263,19.8687105,63.7400837105263,76.236099697873,63.7400837105263,0,0,1,1,1.16573417585641e-15,11.6351858298399,11.6351858298399,83.6087942105263,19.8687105,63.7400837105263,275.744839799374,268.297770247733,-7.44706955164099,309.737271907887,216.852639726653,-92.884632181234,NaN,0,NaN,1.36002320516582e-15,8.88178419700125e-16,0,0,0,0
