Day,Score,QualityPassed,QualityStatus,QualityMessage,LoadEnergyKWh,PvEnergyKWh,LoadPeakKW,PvPeakKW,Selected
08-Jan-2020,0.297558395019777,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-01-08 fails exclude_flagged_pv: status_run_exceeds_2min:H4; pv_window_exceeds_astronomical_day_length_plus_0.5h.",285.580571885246,58.936475,23.66248,11.47242,0
10-Feb-2020,0.297795898638175,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-02-10 fails exclude_flagged_pv: status_run_exceeds_2min:H2,H13; status_fraction_exceeds_0.005:H13; pv_window_exceeds_astronomical_day_length_plus_0.5h.",256.549745,68.048035,19.3820355760369,11.0546502304147,0
17-Oct-2020,0.298449074654117,1,passed,"",258.160445,46.95264,18.2866,10.90308,0
13-Jun-2020,0.298822710609302,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-13 fails exclude_flagged_pv: status_run_exceeds_2min:H12,H14,H15.",216.159975,54.90271,21.0403,10.21036,0
22-Aug-2020,0.298955774347448,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-08-22 fails exclude_flagged_pv: status_run_exceeds_2min:H8; status_fraction_exceeds_0.005:H8.",254.600175,39.51657,21.07658,7.83026,0
16-May-2020,0.299117637886879,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-05-16 fails exclude_flagged_pv: status_run_exceeds_2min:H9,H10,H12,H15.",230.009615,52.986875,17.3641,9.39738,0
11-Feb-2020,0.299251173178365,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-02-11 fails exclude_flagged_pv: status_run_exceeds_2min:H12,H15; status_fraction_exceeds_0.005:H12.",317.11085,27.080045,22.88858,7.15936,0
26-Jul-2020,0.30014902118367,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-26 fails exclude_flagged_pv: status_run_exceeds_2min:H18; status_fraction_exceeds_0.005:H18.",257.929355,66.370055,19.33792,15.5577,0
22-Jan-2020,0.300742886025736,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-01-22 fails exclude_flagged_pv: status_run_exceeds_2min:H20.",287.626805,32.35249,25.28002,11.22956,0
02-Jan-2020,0.301062941219419,1,passed,"",270.03766,20.879625,22.74114,5.83496,0
02-Mar-2020,0.302389227385383,1,passed,"",288.31879,27.987555,20.15406,8.92156,0
28-Oct-2020,0.302532872236975,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-10-28 fails exclude_flagged_pv: status_run_exceeds_2min:H6,H7,H8,H9,H10,H11,H12,H13,H14,H16,H17,H18,H19,H20; status_fraction_exceeds_0.005:H7,H10,H11,H12,H13,H19,H20.",286.05046,38.63969,24.93408,8.9896,0
14-Jul-2020,0.303218626229359,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-14 fails exclude_flagged_pv: status_run_exceeds_2min:H5,H19; status_fraction_exceeds_0.005:H5,H19.",201.492074589782,61.814645,14.70782,11.39644,0
10-Apr-2020,0.303234262022336,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-04-10 fails exclude_flagged_pv: status_run_exceeds_2min:H13; status_fraction_exceeds_0.005:H13.",262.402917,27.37346,17.62632,6.06102,0
01-Mar-2020,0.303242678125102,1,passed,"",272.227255,31.76364,18.76322,8.99778,0
11-Mar-2020,0.303717508799098,1,passed,"",293.513115,28.39524,22.74502,6.27494,0
09-Feb-2020,0.304079127001452,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-02-09 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H2,H3,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H17,H18,H19,H20; status_fraction_exceeds_0.005:H1,H2,H3,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H17,H18,H19,H20; pv_window_exceeds_astronomical_day_length_plus_0.5h.",273.72634,20.326205,21.98173,4.86356,0
13-Nov-2020,0.304442421927529,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-11-13 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H2,H3,H4,H5,H16; status_fraction_exceeds_0.005:H1,H2,H3,H4,H5,H16.",283.217373157895,18.201455,22.9632531578947,5.2702,0
24-Jul-2020,0.304444020204275,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-24 fails exclude_flagged_pv: status_run_exceeds_2min:H14,H18; status_fraction_exceeds_0.005:H14,H18.",248.646715,25.34446,21.4508507692308,8.82956,0
30-Oct-2020,0.305271251317152,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-10-30 fails exclude_flagged_pv: status_run_exceeds_2min:H5.",271.4118,51.001425,23.90736,12.09948,0
09-Jul-2020,0.306746751688842,1,passed,"",278.96795,20.180705,19.4818,3.25002,0
30-Jan-2020,0.306870611231626,1,passed,"",262.225995,17.858775,16.23445,3.73632,0
13-Sep-2020,0.307819645729333,1,passed,"",253.506885,54.267675,16.5362,13.62476,0
13-Oct-2020,0.30808821258612,1,passed,"",253.31327,57.489185,18.69402,13.34337,0
07-Mar-2020,0.308425156661611,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-03-07 fails exclude_flagged_pv: status_run_exceeds_2min:H9,H13,H17,H18; pv_window_exceeds_astronomical_day_length_plus_0.5h.",245.33102,35.200215,22.27364,4.28576,0
18-Nov-2020,0.308923291512883,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-11-18 fails exclude_flagged_pv: status_run_exceeds_2min:H16; status_fraction_exceeds_0.005:H16.",290.723675666667,28.18462,23.91638,8.68614,0
02-Nov-2020,0.310166034774413,1,passed,"",275.758315,41.36594,19.91046,10.8085,0
04-Dec-2020,0.310343663604685,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-12-04 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H12,H19; pv_window_exceeds_astronomical_day_length_plus_0.5h.",270.195145,52.703765,18.02452,13.71008,0
04-Oct-2020,0.310572142060575,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-10-04 fails exclude_flagged_pv: status_run_exceeds_2min:H10,H14,H17.",267.44333,31.614565,22.02984,5.96624,0
27-Jan-2020,0.311051370102673,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-01-27 fails exclude_flagged_pv: status_run_exceeds_2min:H4,H10,H14,H15,H17,H18,H19; status_fraction_exceeds_0.005:H10,H14,H15,H17,H18,H19.",287.26981,14.609965,22.81436,7.27782,0
06-Jul-2020,0.311306953554126,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-06 fails exclude_flagged_pv: status_run_exceeds_2min:H10,H12,H14,H15,H20.",218.930285,47.610065,15.27656,10.00206,0
