Day,Strategy,ReferenceKind,BillEUR,ReferenceBillEUR,BillRelativeDifference,PeakKW,ReferencePeakKW,PeakRelativeDifference,CapDifferenceKW,Tolerance,Passed
2020-08-16,IMPROVED_PEAK_GUARD,peak_guard_v1,29.4402111630603,29.4402111630603,0,19.8687105,19.8687105,0,0,1e-06,1
2020-09-01,IMPROVED_PEAK_GUARD,peak_guard_v1,34.253043332079,34.253043332079,0,20.261546,20.261546,0,0,1e-06,1
2020-09-02,IMPROVED_PEAK_GUARD,peak_guard_v1,34.56036730692,34.56036730692,0,18.825119,18.825119,0,0,1e-06,1
2020-09-15,IMPROVED_PEAK_GUARD,peak_guard_v1,28.197447434877,28.197447434877,0,17.280066,17.280066,0,0,1e-06,1
2020-09-16,IMPROVED_PEAK_GUARD,peak_guard_v1,23.9369560980387,23.9369560980386,4.15574906846928e-15,15.0258605,15.0258605,0,0,1e-06,1
2020-10-01,IMPROVED_PEAK_GUARD,peak_guard_v1,33.3043247757287,33.3043247757287,0,25.3783045,25.3783045,0,0,1e-06,1
2020-10-02,IMPROVED_PEAK_GUARD,peak_guard_v1,35.9297996729211,35.9297996729211,0,23.006571,23.006571,0,0,1e-06,1
2020-10-15,IMPROVED_PEAK_GUARD,peak_guard_v1,15.7072735805082,15.7072735805082,0,14.8557740000001,14.855774,6.69611580025477e-15,0,1e-06,1
2020-10-16,IMPROVED_PEAK_GUARD,peak_guard_v1,14.8479063532246,14.8479063532246,0,17.5111735,17.5111735,0,0,1e-06,1
2020-11-01,IMPROVED_PEAK_GUARD,peak_guard_v1,39.1869977928509,39.1869977928509,0,25.7987325,25.7987325,0,0,1e-06,1
2020-11-02,IMPROVED_PEAK_GUARD,peak_guard_v1,26.3771267290014,26.3771267290014,0,18.2003795,18.2003795,0,0,1e-06,1
2020-11-15,IMPROVED_PEAK_GUARD,peak_guard_v1,32.4388994138802,32.4388994138802,0,25.2639187236842,25.2639187236842,0,0,1e-06,1
2020-11-16,IMPROVED_PEAK_GUARD,peak_guard_v1,35.0939721202843,35.0939721202843,0,24.038322930622,24.038322930622,0,0,1e-06,1
2020-12-01,IMPROVED_PEAK_GUARD,peak_guard_v1,34.9289150694838,34.9289150694838,0,29.0186035,29.0186035,0,0,1e-06,1
2020-12-02,IMPROVED_PEAK_GUARD,peak_guard_v1,28.2918646647552,28.2918646647552,0,23.9856345,23.9856345,0,0,1e-06,1
