Day,DemandChargeEURPerKW,Status,Feasible,P0KW,BillEUR,PeakKW,NightPeakKW,ObjectiveWithDemandChargeEUR,PaperSavingsPercent,BillPenaltyVsVppEUR,PaperSavingsSacrificePP,PeakReductionVsVppKW,PeakRatioToP0,PeakAtOrBelowP0,PeakAtOrBelowLex,VppTotalCostUnderTariffEUR,TotalCostSavingVsVppUnderTariffEUR,FrontierLowerBoundCapRatio,FrontierLowerBoundBillEUR,GapAboveFrontierLowerBoundEUR,ConsistentWithFrontier,MaximumRelativeMipGapPercent
2020-06-16,0.05,ok,1,14.727853,19.3101798522475,19.1568934596127,19.1568934596127,20.2680245252281,47.3335293717461,-9.77819780700884e-09,-2.66688999772668e-08,37.7372054820965,1.30072546620425,0,0,22.1548848091112,1.88686028388306,1.5,19.3101798620257,-9.77819780700884e-09,1,0
2020-06-16,0.1,ok,1,14.727853,19.3101798434375,19.1568934499313,19.1568934499313,21.2258691884306,47.3335293957744,-1.85881994241299e-08,-5.06971957747737e-08,37.7372054917779,1.3007254655469,0,0,24.9995897561966,3.77372056776602,1.5,19.3101798620257,-1.85881994241299e-08,1,0
2020-06-16,0.2,ok,1,14.727853,19.3101798281985,19.1568934331852,19.1568934331852,23.1415585148356,47.3335294373371,-3.38271988198358e-08,-9.22598957231457e-08,37.737205508524,1.30072546440986,0,0,30.6889996503675,7.54744113553194,1.5,19.3101798620257,-3.38271988198358e-08,1,0
2020-06-16,0.5,ok,1,14.727853,19.310179795451,19.1568933971989,19.1568933971989,28.8886264940504,47.3335295266526,-6.65746995309746e-08,-1.81575394719857e-07,37.7372055445103,1.30072546196645,0,0,47.7572293328803,18.8686028388299,1.5,19.3101798620257,-6.65746995309746e-08,1,0
2020-06-16,1,ok,1,14.727853,27.734276459749,9.41899725293468,9.41899725293468,37.1532737126837,24.3576979738363,8.4240965977233,22.9758313712409,47.4751016887745,0.639536343344456,1,1,76.2042788037349,39.0510050910512,0.7,26.8590547874546,0.875221672294401,1,0
2020-07-01,0.05,ok,1,21.141624,31.8873582876733,28.0959322814693,28.0959322814693,33.2921549017468,30.8390549603173,3.89564199565484e-07,8.44931300036933e-07,54.953721929057,1.32893917144063,0,1,36.0398406086354,2.74768570688862,1.5,31.8873578981092,3.89564100089501e-07,1,0
2020-07-01,0.1,ok,1,21.141624,31.8873587402441,28.0959316514028,28.0959316514028,34.6969519053844,30.8390539787301,8.421349981802e-07,1.82651849911508e-06,54.9537225591235,1.32893914163845,0,1,40.1923233191617,5.49537141377733,1.5,31.8873578981092,8.42134898704217e-07,1,0
2020-07-01,0.2,ok,1,21.141624,31.8873599073453,28.0959300265711,28.0959300265711,37.5065459126595,30.8390514473877,2.00923619786408e-06,4.35786089880708e-06,54.9537241839552,1.32893906478382,0,1,48.4972887402144,10.9907428275549,1.5,31.8873578981092,2.0092360983881e-06,1,8.88178801325993e-16
2020-07-01,0.5,ok,1,21.141624,31.8873698245099,28.0959162199501,28.0959162199501,45.935327934485,30.8390299379082,1.19264007985009e-05,2.58673403976672e-05,54.9537379905762,1.32893841172987,0,1,73.4121850033723,27.4768570688873,1.5,31.8873578981092,1.1926400699025e-05,1,0
2020-07-01,1,ok,1,21.141624,43.2202269710924,14.136271590449,14.136271590449,57.3564985615415,6.25903484435549,11.3328690729833,24.5800209608931,68.9133826200773,0.668646438440538,1,1,114.937012108635,57.5805135470939,0.7,42.6600200609716,0.560206910120804,1,0
2020-07-02,0.05,ok,1,24.4455305,29.3756689053694,25.6512017631579,25.6512017631579,30.6582289935273,33.3874244865064,1.2825599782218e-07,2.90834705651832e-07,45.3939598157895,1.04932072401366,0,0,32.9279268560608,2.26969786253347,1.25,29.3756687771134,1.2825599782218e-07,1,0
